step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_paf,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_paf,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,,0.017423735931515694,0.38644322752952576,0.00980403646826744,0.012575434520840645,0.012575434520840645,,,,
2,,,,,,0.008249363861978054,0.24427443742752075,0.002225094009190798,0.0068951984867453575,0.0068951984867453575,,,,
3,,,,,,0.006798363756388426,0.20631897449493408,0.0017429875442758203,0.005762869957834482,0.005762869957834482,,,,
4,,,,,,0.006334194913506508,0.19346685707569122,0.001498801400884986,0.005385805852711201,0.005385805852711201,,,,
5,,,,,,0.005997019354254007,0.18443888425827026,0.0014430525479838252,0.005121089518070221,0.005121089518070221,,,,
6,,,,,,0.005853760056197643,0.18015696108341217,0.0013801472960039973,0.004999873694032431,0.004999873694032431,,,,
7,,,,,,0.00572031969204545,0.17393702268600464,0.0013749230420216918,0.004851554520428181,0.004851554520428181,,,,
8,,,,,,0.005672852508723736,0.1711513102054596,0.0013171540340408683,0.004787378013134003,0.004787378013134003,,,,
9,,,,,,0.005449858494102955,0.1673687994480133,0.0011551985517144203,0.004644606728106737,0.004644606728106737,,,,
10,0.0013202476548030972,0.200020894408226,0.00032310641836375,0.003784534754231572,0.003784534754231572,0.005366744939237833,0.16489821672439575,0.0011842581443488598,0.004576694220304489,0.004576694220304489,58.04675654655135,62.361702127659576,14.280444013076659,10.82781983016278
11,,,,,,0.005293057765811682,0.16319341957569122,0.00107640924397856,0.004520123358815908,0.004520123358815908,,,,
